repo_id,num_issues
3720099,2094
20271797,2097
24539051,2108
16416,2109
12911997,2127
7641,2127
24278680,2128
3486,2129
1565,2130
1397979,2132
4251,2138
52321,2140
3828093,2149
55219,2158
8743391,2172
21164391,2172
10937937,2174
43671,2176
1735275,2179
8937352,2180
21752,2190
14545279,2198
5282855,2204
22198050,2205
13696924,2205
218710,2214
13694299,2223
1372028,2227
11019,2232
6276214,2232
8497,2235
7149279,2239
11151475,2245
28301269,2247
22101095,2251
16554832,2254
22092982,2261
3377,2271
23238531,2276
18104,2299
3174,2302
1036,2308
5230,2312
25822,2315
5167,2318
1743,2332
57334313,2342
5402577,2346
877535,2349
3103499,2366
3635801,2369
1438441,2373
18089783,2377
9626384,2378
4909,2380
2888,2382
35846,2393
6489,2402
21122,2420
5123174,2421
334,2433
3746639,2433
15778405,2436
2922319,2437
10679,2438
1361727,2438
10495335,2440
9663874,2452
11162094,2509
10748827,2522
6075127,2530
8109,2539
16575013,2540
2252771,2544
21586367,2546
7212462,2547
9025349,2562
546037,2582
284,2588
10938134,2595
171390,2597
7770,2607
1312712,2611
19466424,2619
14989,2620
2909122,2622
27564,2628
10502,2630
6488172,2630
15114954,2632
14965067,2638
2067,2644
20429,2647
28857969,2651
1543447,2659
27710429,2674
20315,2678
1710214,2684
7865651,2685
13403042,2687
7834592,2713
11461596,2724
34754970,2728
22087354,2750
1263208,2759
2691,2761
896266,2763
13447331,2769
801441,2777
21127,2792
3388388,2798
31402,2813
3808946,2826
11116784,2843
12752196,2851
11610797,2869
5465315,2885
26591,2891
35134,2894
20364539,2898
19377,2898
149332,2900
11084447,2910
2157,2923
5446,2929
62238,2936
138791,2936
16411922,2938
6992905,2940
9286541,2941
7150069,2950
11494393,2957
8721,2974
10997213,3016
424503,3024
14550,3025
6068879,3026
54491,3041
12190410,3051
10390278,3052
6178378,3067
22616,3098
64630,3120
15919481,3120
2696876,3131
12885,3156
1529,3176
8643285,3184
9402294,3199
47034,3212
29304481,3216
2922081,3239
9509377,3250
2249947,3254
3697,3256
205522,3262
11734247,3262
28858802,3275
7803564,3289
937,3291
14771481,3291
29522,3306
34388,3345
4104353,3350
10438022,3374
6301,3382
28204,3391
558679,3393
4885493,3397
7735464,3409
4234273,3409
30369843,3444
696102,3446
12830,3447
13345616,3476
13424293,3477
24303626,3483
5049584,3490
16948090,3518
1282,3525
7921108,3539
11750714,3543
2366329,3546
20337473,3548
5101,3572
7776438,3580
10192058,3583
7266,3590
11611140,3604
9982829,3621
5504302,3623
13127,3624
1394906,3635
38701,3636
4270248,3641
7657266,3650
4391700,3684
22920,3702
174722,3705
7297388,3714
2847808,3724
98846,3728
13601600,3732
683351,3738
2696,3775
8778426,3786
13340004,3789
565654,3796
9524590,3820
10423929,3822
2560,3822
1173,3823
4580307,3878
22084657,3878
22042509,3919
3475441,3926
20839830,3945
3816,3955
12666384,4036
3040416,4039
15870,4054
2093,4068
12455,4080
13521151,4084
595203,4104
5183711,4107
29890,4111
5042636,4112
6146926,4122
3446481,4154
390,4180
958892,4185
4876188,4192
17802,4198
12656723,4202
27258,4208
1912872,4222
5889,4250
12343173,4258
20629,4263
48099,4280
53095457,4296
5142,4314
25813263,4318
11474326,4319
4003838,4319
6636898,4322
9289602,4356
11702192,4372
8580389,4386
5062667,4390
13860,4398
43061,4422
862,4430
17645532,4448
8246028,4485
22045611,4492
19911836,4517
4735,4522
3406875,4524
6313,4528
9511697,4543
24397,4568
3360645,4569
19797023,4581
11620775,4591
52463,4602
17999809,4626
898600,4630
11117,4663
22045678,4664
6690806,4666
18004957,4682
30272024,4698
4516,4699
29670,4725
20931597,4742
21575067,4752
1953978,4779
10104856,4798
4276991,4807
105757646,4820
17466934,4825
23052,4851
11367097,4924
12813026,4953
5210,5003
39335,5018
13631210,5027
3649407,5034
22841,5056
1911,5062
5767,5094
13576983,5097
12258,5102
14284596,5110
23703003,5114
519,5134
6830,5136
4560965,5212
9384,5215
7930999,5240
29128136,5266
3722347,5279
10084678,5302
1207,5326
17530,5328
6035271,5338
12999108,5357
6946390,5373
11156150,5389
1331862,5402
26166110,5480
6368,5480
14897549,5489
30464,5497
11387,5518
10842035,5543
2363758,5611
114167,5629
17904496,5635
18162315,5657
11638,5697
11673022,5699
8349120,5716
16827424,5742
9789111,5744
7656900,5768
21416,5789
8932041,5793
8195,5796
9238699,5803
1386,5827
3601879,5836
22053028,5852
1554,5865
4314311,5869
29662323,5875
1842,5890
49032,5911
687922,5962
26624,5966
799,6006
10425739,6032
434,6032
12143760,6068
2344415,6085
1996840,6087
940,6140
16778926,6161
30893902,6188
6253397,6218
8204377,6228
19189656,6264
12639184,6302
22205189,6379
8804952,6394
11632333,6418
26985008,6452
7941722,6568
6611508,6575
17947867,6602
1877118,6603
27142,6611
24444,6655
19388130,6726
1043143,6788
24158194,6801
6876142,6801
96553,6804
31810056,6887
3487748,6935
25725,6942
5216326,6949
45297,6952
6401040,7087
3825551,7096
20810216,7196
19860558,7233
900,7268
5455827,7327
16922941,7341
21613416,7358
31340100,7368
6223,7386
29123233,7496
847,7575
5031823,7612
16286325,7681
13407509,7721
18904813,7762
2822,7766
19626,7804
12031,7848
1344612,7922
21483441,7985
12752080,7998
3228357,8025
183,8079
15704905,8081
3231,8116
29253,8202
27478957,8236
6806,8277
2539527,8319
2719,8404
2812,8411
9678863,8465
5603,8512
14807988,8529
44428,8672
39505,8702
