id,num_devs,num_comments
80885393,3,6
62141624,3,14
3397184,21,29
75360824,1,1
14645888,3,7
26687314,2,3
12888896,7,8
16189415,2,3
61011252,3,6
71328340,7,7
29890596,4,32
22922521,10,58
49877520,2,3
103664578,3,6
23146634,4,7
17513980,3,4
12576556,7,13
2950178,1,2
5647552,3,22
22870794,4,6
26597611,2,3
12918384,7,16
26783885,6,12
29099337,21,54
80319727,3,6
34321932,5,18
61687485,3,14
77555675,5,12
39296884,9,32
25724567,4,4
16916585,8,8
29219966,2,2
13772831,2,2
66134839,6,12
26966917,2,2
6870832,7,15
67366573,3,3
82690126,3,5
56378263,3,7
3048169,3,4
74340740,7,60
63391252,3,9
6127036,4,7
62908558,3,9
33919588,4,7
46311971,3,16
25940260,1,1
42583006,3,5
23311795,4,7
46313518,2,4
2547202,9,26
3225537,2,2
9746117,5,6
59919551,4,6
20442650,12,36
102965252,3,3
91290086,3,8
36738094,6,22
80415263,4,6
16737790,11,12
39237777,9,13
91169008,1,1
52381126,4,7
57346602,3,4
14986107,3,4
81978951,7,11
55167224,3,4
38825724,6,10
47528514,5,26
83081236,2,2
10190669,21,43
43952946,2,8
85653680,2,2
67627791,4,13
24255,2,2
23097124,2,4
19004681,1,4
19553073,6,9
57588629,3,5
81572424,3,4
16644432,2,6
2957020,2,6
80264441,4,10
61443775,5,7
27119434,3,3
6836991,5,12
94926246,6,16
59439639,3,7
69139812,2,4
54416774,6,30
59150297,1,1
97222556,3,5
58751549,7,18
100214973,8,34
20517989,2,4
27114331,4,8
79967702,3,20
36555356,2,4
33113149,2,2
53877867,6,9
70459809,3,14
37925116,7,18
36591220,7,11
26643895,2,2
47114528,6,8
85090436,4,7
55207597,4,7
2782927,4,18
97406823,1,3
42448579,6,10
33328951,3,6
75654082,2,4
76366943,1,1
62495604,4,12
32623733,4,10
22943887,25,26
96650041,4,6
70931243,4,24
85681664,7,17
10046524,2,5
2033165,11,33
70802741,3,7
25911708,12,13
13224106,9,20
46276815,1,1
54775219,10,20
47366596,5,20
10539814,1,1
45265668,8,212
29716442,7,18
26875669,3,5
10233224,2,5
66189436,3,5
71090799,5,5
6374669,2,5
19204851,7,23
26843925,8,19
11021224,2,4
16617553,4,11
45055992,6,13
109016511,4,6
1449857,6,7
61347785,2,6
3274653,2,4
33284818,5,13
22328971,2,2
57090968,2,3
8470326,5,12
15914159,31,144
27378636,4,16
13626361,5,5
24779346,10,12
11537656,3,4
87647705,2,6
8287452,3,3
48063690,4,14
21008838,4,4
82050337,5,6
20805262,2,3
48087469,2,2
36430923,6,22
21550130,2,6
39399143,3,6
85345709,8,22
14757286,3,4
68254997,3,6
36839557,3,13
44014575,5,14
81351818,5,16
14475534,2,3
16357823,2,3
51727212,2,3
641727,3,10
87259719,4,4
55874820,8,17
67846618,2,5
21196136,3,3
250132,4,10
39662421,9,13
6696521,11,15
1001708,2,3
32470996,2,2
103480706,2,4
11926715,2,2
27349846,8,19
27729486,3,3
40712774,2,2
25025652,4,7
87635801,5,12
59974056,3,3
72539646,7,10
19528692,3,4
48907310,4,7
44791189,3,6
37233708,3,6
37209004,3,3
11236401,2,5
28391962,2,8
66951685,2,16
45265050,5,26
81941158,2,6
34540951,24,180
18501554,4,8
77019884,1,1
44174448,3,5
1876571,6,7
26213209,14,15
64884429,5,11
27017158,4,4
19659173,8,20
34409398,5,11
97421659,2,2
72211776,4,4
24063029,4,9
26675494,8,40
40753117,3,5
27390223,2,2
31573787,3,4
66777515,2,2
81929086,4,4
7236484,3,3
32377918,3,4
2992749,1,1
20997262,5,9
31302767,4,6
93294809,3,6
28173859,7,16
94491469,4,7
48920,3,4
59792023,2,2
55799575,1,1
44752413,3,5
86476955,4,9
45136414,1,2
41685771,2,2
20924812,1,4
73247298,7,32
250600,4,8
56824980,3,12
21445214,4,5
52135158,12,41
20955655,1,1
2638482,2,2
716631,6,24
45355600,7,36
97967863,3,3
5222282,3,3
6979214,2,2
65770172,16,20
15159574,4,8
8287458,3,6
24395901,3,4
19081494,71,191
33218862,1,2
45266955,2,6
83908648,3,6
35465364,3,7
64265317,7,17
76295264,3,8
26014686,3,3
47092,2,10
16192233,4,7
41199137,2,2
14913451,50,308
791578,1,1
10904151,2,2
6801415,5,5
32205399,3,3
76326537,2,5
24599356,2,5
1001825,3,5
37798551,2,12
26958646,2,3
38341608,5,11
11820801,4,6
32307923,1,1
